Configuration weight     Weight sign              
297.422                  1                        
297.949                  1                        
295.74                   1                        
293.395                  1                        
289.476                  1                        
290.025                  1                        
290.332                  1                        
285.798                  1                        
286.569                  1                        
287.318                  1                        
287.608                  1                        
292.209                  1                        
294.784                  1                        
295.046                  1                        
292.475                  1                        
289.481                  1                        
290.145                  1                        
286.971                  1                        
282.647                  1                        
282.745                  1                        
283.319                  1                        
283.606                  1                        
282.55                   1                        
282.903                  1                        
286.24                   1                        
288.912                  1                        
290.443                  1                        
290.497                  1                        
289.237                  1                        
287.077                  1                        
287.2                    1                        
293.577                  1                        
292.145                  1                        
292.395                  1                        
292.59                   1                        
294.491                  1                        
293.558                  1                        
291.987                  1                        
292.599                  1                        
286.796                  1                        
288.352                  1                        
286.925                  1                        
286.845                  1                        
286.456                  1                        
285.561                  1                        
285.077                  1                        
283.869                  1                        
284.738                  1                        
283.399                  1                        
283.413                  1                        
282.403                  1                        
279.969                  1                        
280.616                  1                        
280.457                  1                        
277.837                  1                        
279.349                  1                        
278.462                  1                        
277.817                  1                        
276.579                  1                        
277.169                  1                        
275.758                  1                        
277.839                  1                        
278.892                  1                        
273.71                   1                        
272.043                  1                        
274.903                  1                        
270.566                  1                        
269.912                  1                        
268.781                  1                        
268.909                  1                        
269.52                   1                        
269.427                  1                        
267.196                  1                        
271.917                  1                        
273.523                  1                        
272.18                   1                        
269.754                  1                        
272.941                  1                        
272.373                  1                        
272.341                  1                        
269.033                  1                        
271.912                  1                        
271.429                  1                        
276.031                  1                        
275.054                  1                        
278.714                  1                        
275.6                    1                        
279.783                  1                        
282.474                  1                        
281.28                   1                        
282.534                  1                        
285.236                  1                        
281.157                  1                        
282.452                  1                        
279.567                  1                        
282.692                  1                        
281.877                  1                        
282.622                  1                        
287.218                  1                        
288.375                  1                        
292.944                  1                        
293.629                  1                        
292.561                  1                        
290.899                  1                        
292.707                  1                        
292.739                  1                        
291.029                  1                        
287.604                  1                        
285.968                  1                        
285.849                  1                        
290.666                  1                        
287.459                  1                        
287.8                    1                        
287.228                  1                        
289.621                  1                        
291.457                  1                        
291.722                  1                        
286.683                  1                        
285.364                  1                        
283.807                  1                        
284.042                  1                        
284.694                  1                        
284.861                  1                        
286.152                  1                        
288.856                  1                        
289.48                   1                        
290.043                  1                        
291.021                  1                        
290.654                  1                        
290.083                  1                        
290.404                  1                        
289.724                  1                        
294.18                   1                        
292.789                  1                        
293.157                  1                        
294.577                  1                        
296.102                  1                        
296.179                  1                        
295.343                  1                        
301.902                  1                        
298.457                  1                        
300.391                  1                        
297.368                  1                        
295.7                    1                        
296.385                  1                        
296.528                  1                        
293.231                  1                        
293.711                  1                        
293.581                  1                        
298.753                  1                        
301.445                  1                        
300.895                  1                        
298.956                  1                        
302.644                  1                        
300.518                  1                        
299.117                  1                        
300.117                  1                        
304.127                  1                        
304.817                  1                        
303.017                  1                        
303.761                  1                        
304.256                  1                        
308.948                  1                        
310.158                  1                        
306.937                  1                        
308.438                  1                        
312.643                  1                        
313.336                  1                        
315.168                  1                        
316.305                  1                        
316.073                  1                        
316.437                  1                        
312.264                  1                        
310.928                  1                        
308.651                  1                        
311.546                  1                        
309.064                  1                        
312.033                  1                        
306.832                  1                        
308.014                  1                        
307.18                   1                        
303.795                  1                        
297.726                  1                        
295.205                  1                        
291.884                  1                        
290.621                  1                        
288.59                   1                        
291.44                   1                        
293.472                  1                        
294.657                  1                        
295.54                   1                        
297.609                  1                        
296.182                  1                        
300.233                  1                        
299.362                  1                        
301.2                    1                        
305.665                  1                        
307.458                  1                        
307.463                  1                        
309.399                  1                        
310.035                  1                        
308.272                  1                        
310.998                  1                        
312.994                  1                        
312.493                  1                        
314.101                  1                        
313.262                  1                        
312.707                  1                        
313.765                  1                        
316.319                  1                        
317.198                  1                        
317.062                  1                        
320.676                  1                        
318.071                  1                        
317.141                  1                        
312.767                  1                        
310.446                  1                        
311.984                  1                        
312.529                  1                        
313.692                  1                        
315.614                  1                        
312.656                  1                        
312.813                  1                        
312.546                  1                        
317.712                  1                        
320.353                  1                        
314.666                  1                        
316.779                  1                        
316.231                  1                        
317.394                  1                        
320.048                  1                        
319.764                  1                        
322.423                  1                        
321.457                  1                        
320.571                  1                        
321.98                   1                        
318.417                  1                        
320.207                  1                        
320.551                  1                        
318.967                  1                        
316.251                  1                        
317.884                  1                        
315.677                  1                        
316.97                   1                        
318.628                  1                        
313.894                  1                        
316.797                  1                        
315.43                   1                        
313.675                  1                        
313.952                  1                        
315.101                  1                        
310.506                  1                        
310.561                  1                        
313.52                   1                        
315.001                  1                        
317.707                  1                        
323.707                  1                        
324.114                  1                        
325.627                  1                        
322.873                  1                        
326.07                   1                        
327.164                  1                        
325.861                  1                        
326.678                  1                        
323.981                  1                        
323.84                   1                        
322.244                  1                        
322.512                  1                        
324.27                   1                        
329.884                  1                        
332.555                  1                        
328.7                    1                        
327.625                  1                        
326.865                  1                        
324.342                  1                        
322.836                  1                        
325.254                  1                        
323.874                  1                        
327.096                  1                        
330.723                  1                        
329.344                  1                        
331.522                  1                        
333.015                  1                        
333.988                  1                        
333.117                  1                        
333.699                  1                        
336.899                  1                        
339.492                  1                        
337.993                  1                        
335.907                  1                        
335.329                  1                        
338.996                  1                        
338.179                  1                        
335.748                  1                        
337.297                  1                        
335.537                  1                        
337.276                  1                        
337.269                  1                        
338.876                  1                        
336.456                  1                        
336.904                  1                        
335.09                   1                        
335.733                  1                        
335.593                  1                        
338.127                  1                        
337.78                   1                        
339.83                   1                        
337.127                  1                        
338.338                  1                        
337.256                  1                        
335.479                  1                        
333.413                  1                        
332.029                  1                        
330.694                  1                        
332.255                  1                        
334.782                  1                        
333.025                  1                        
332.031                  1                        
331.251                  1                        
333.876                  1                        
331.882                  1                        
333.857                  1                        
335.248                  1                        
332.825                  1                        
331.651                  1                        
331.053                  1                        
334.168                  1                        
330.816                  1                        
333.139                  1                        
331.815                  1                        
330.521                  1                        
327.259                  1                        
327.461                  1                        
323.885                  1                        
323.071                  1                        
318.019                  1                        
317.114                  1                        
316.132                  1                        
313.421                  1                        
313.119                  1                        
313.015                  1                        
313.035                  1                        
317.301                  1                        
316.858                  1                        
317.788                  1                        
318.834                  1                        
325.097                  1                        
326.818                  1                        
330.668                  1                        
327.101                  1                        
329.554                  1                        
331.03                   1                        
328.674                  1                        
328.384                  1                        
333.597                  1                        
328.776                  1                        
329.937                  1                        
334.06                   1                        
332.315                  1                        
333.072                  1                        
329.25                   1                        
325.709                  1                        
329.254                  1                        
327.408                  1                        
327.628                  1                        
325.635                  1                        
327.162                  1                        
328.785                  1                        
330.785                  1                        
331.46                   1                        
335.41                   1                        
335.447                  1                        
331.877                  1                        
331.16                   1                        
332.262                  1                        
333.708                  1                        
333.381                  1                        
331.037                  1                        
331.799                  1                        
329.656                  1                        
332.772                  1                        
332.296                  1                        
330.655                  1                        
334.573                  1                        
337.096                  1                        
337.175                  1                        
338.425                  1                        
336.075                  1                        
336.59                   1                        
335.411                  1                        
335.259                  1                        
334.922                  1                        
333.741                  1                        
330.155                  1                        
329.393                  1                        
332.875                  1                        
334.974                  1                        
333.604                  1                        
332.382                  1                        
332.568                  1                        
332.89                   1                        
331.344                  1                        
333.478                  1                        
334.258                  1                        
337.06                   1                        
338.439                  1                        
334.528                  1                        
330.45                   1                        
330.027                  1                        
329.524                  1                        
328.171                  1                        
329.029                  1                        
324.533                  1                        
322.289                  1                        
322.897                  1                        
323.582                  1                        
324.708                  1                        
327.011                  1                        
326.822                  1                        
326.488                  1                        
325.938                  1                        
330.175                  1                        
333.23                   1                        
333.128                  1                        
333.386                  1                        
334.721                  1                        
332.442                  1                        
329.864                  1                        
330.184                  1                        
