Configuration weight     Weight sign              
670.441                  1                        
671.396                  1                        
673.727                  1                        
669.37                   1                        
672.484                  1                        
673.34                   1                        
674.576                  1                        
678.452                  1                        
677.332                  1                        
682.968                  1                        
684.267                  1                        
681.804                  1                        
687.667                  1                        
684.756                  1                        
678.852                  1                        
679.395                  1                        
679.649                  1                        
680.327                  1                        
679.063                  1                        
675.472                  1                        
673.927                  1                        
666.331                  1                        
666.639                  1                        
664.675                  1                        
667.35                   1                        
667.066                  1                        
663.232                  1                        
653.982                  1                        
654                      1                        
657.672                  1                        
658.417                  1                        
652.226                  1                        
652.557                  1                        
659.633                  1                        
660.776                  1                        
658.83                   1                        
657.104                  1                        
657.525                  1                        
664.21                   1                        
660.17                   1                        
662.365                  1                        
660.482                  1                        
663.5                    1                        
670.198                  1                        
669.34                   1                        
671.291                  1                        
670.051                  1                        
676.706                  1                        
675.656                  1                        
678.85                   1                        
681.092                  1                        
677.168                  1                        
675.513                  1                        
682.029                  1                        
683.69                   1                        
681.827                  1                        
685.811                  1                        
684.886                  1                        
685.95                   1                        
687.353                  1                        
694.337                  1                        
699.07                   1                        
698.449                  1                        
699.803                  1                        
694.815                  1                        
696.41                   1                        
693.065                  1                        
694.851                  1                        
686                      1                        
685.039                  1                        
683.709                  1                        
679.467                  1                        
677.06                   1                        
672.437                  1                        
676.437                  1                        
683.723                  1                        
683.162                  1                        
685.257                  1                        
678.499                  1                        
672.411                  1                        
678.628                  1                        
680.7                    1                        
679.511                  1                        
685.572                  1                        
684.109                  1                        
681.789                  1                        
685.852                  1                        
689.351                  1                        
681.79                   1                        
691.996                  1                        
691.254                  1                        
689.918                  1                        
685.665                  1                        
682.724                  1                        
692.158                  1                        
683.378                  1                        
685.468                  1                        
686.244                  1                        
682.773                  1                        
680.998                  1                        
678.196                  1                        
679.072                  1                        
677.963                  1                        
675.262                  1                        
672.896                  1                        
666.708                  1                        
671.582                  1                        
675.181                  1                        
677.286                  1                        
682.287                  1                        
675.23                   1                        
677.748                  1                        
683.237                  1                        
688.937                  1                        
691.07                   1                        
693.892                  1                        
699.688                  1                        
703.922                  1                        
706.583                  1                        
709.538                  1                        
708.306                  1                        
703.162                  1                        
699.294                  1                        
696.548                  1                        
687.759                  1                        
683.27                   1                        
684.565                  1                        
683.167                  1                        
687.488                  1                        
683.073                  1                        
678.019                  1                        
674.223                  1                        
675.43                   1                        
680.832                  1                        
685.398                  1                        
685.186                  1                        
685.369                  1                        
690.004                  1                        
687.739                  1                        
687.748                  1                        
688.74                   1                        
685.383                  1                        
686.276                  1                        
688.706                  1                        
690.907                  1                        
691.024                  1                        
697.211                  1                        
700.615                  1                        
697.23                   1                        
694.181                  1                        
695.806                  1                        
693.466                  1                        
691.201                  1                        
693.072                  1                        
691.857                  1                        
686.804                  1                        
683.334                  1                        
679.386                  1                        
673.938                  1                        
676.024                  1                        
679.957                  1                        
683.028                  1                        
679.353                  1                        
680.87                   1                        
688.235                  1                        
687.254                  1                        
683.763                  1                        
679.71                   1                        
675.704                  1                        
673.851                  1                        
670.196                  1                        
671.228                  1                        
673.777                  1                        
672.95                   1                        
668.206                  1                        
668.777                  1                        
665.154                  1                        
671.382                  1                        
669.098                  1                        
666.241                  1                        
668.483                  1                        
659.17                   1                        
660.389                  1                        
658.846                  1                        
661.23                   1                        
659.539                  1                        
661.923                  1                        
661.307                  1                        
660.157                  1                        
655.661                  1                        
652.566                  1                        
647.866                  1                        
653.261                  1                        
653.296                  1                        
650.026                  1                        
646.542                  1                        
648.836                  1                        
641.266                  1                        
640.839                  1                        
647.69                   1                        
648.264                  1                        
642.216                  1                        
638.001                  1                        
628.272                  1                        
624.996                  1                        
627.993                  1                        
625.368                  1                        
620.4                    1                        
622.34                   1                        
623.298                  1                        
624.525                  1                        
625.571                  1                        
625.533                  1                        
623.869                  1                        
629.1                    1                        
629.499                  1                        
619.387                  1                        
617.256                  1                        
617.976                  1                        
619.425                  1                        
622.301                  1                        
630.802                  1                        
625.774                  1                        
622.77                   1                        
624.749                  1                        
627.84                   1                        
624.872                  1                        
619.95                   1                        
626.895                  1                        
625.08                   1                        
629.807                  1                        
627.808                  1                        
632.569                  1                        
625.965                  1                        
631.362                  1                        
639.201                  1                        
629.688                  1                        
627.335                  1                        
617.261                  1                        
616.757                  1                        
618.302                  1                        
619.53                   1                        
615.657                  1                        
626.555                  1                        
620.32                   1                        
