Configuration weight     Weight sign              
858.482                  1                        
861.288                  1                        
860.762                  1                        
861.218                  1                        
868.099                  1                        
878.251                  1                        
880.06                   1                        
871.86                   1                        
872.013                  1                        
874.019                  1                        
881.906                  1                        
885.354                  1                        
889.11                   1                        
892.07                   1                        
888.079                  1                        
895.584                  1                        
887.969                  1                        
894.115                  1                        
884.032                  1                        
880.979                  1                        
879.383                  1                        
877.932                  1                        
878.657                  1                        
873.774                  1                        
874.189                  1                        
880.783                  1                        
889.253                  1                        
889.413                  1                        
886.15                   1                        
880.097                  1                        
876.452                  1                        
872.623                  1                        
879.866                  1                        
876.425                  1                        
872.773                  1                        
870.23                   1                        
865.769                  1                        
868.669                  1                        
882.004                  1                        
880.141                  1                        
880.397                  1                        
877.452                  1                        
878.591                  1                        
875.167                  1                        
880.059                  1                        
866.89                   1                        
871.26                   1                        
870.328                  1                        
862.984                  1                        
867.073                  1                        
872.255                  1                        
879.699                  1                        
875.069                  1                        
879.034                  1                        
884.671                  1                        
882.382                  1                        
882.939                  1                        
881.406                  1                        
877.254                  1                        
873.311                  1                        
871.017                  1                        
869.137                  1                        
856.879                  1                        
864.143                  1                        
859.201                  1                        
856.196                  1                        
860.919                  1                        
865.77                   1                        
873.347                  1                        
873.304                  1                        
868.908                  1                        
870.09                   1                        
867.528                  1                        
869.369                  1                        
867.687                  1                        
864.282                  1                        
856.866                  1                        
854.549                  1                        
851.563                  1                        
850.253                  1                        
840.089                  1                        
842.786                  1                        
840.619                  1                        
848.56                   1                        
856.068                  1                        
852.233                  1                        
843.293                  1                        
836.07                   1                        
830.535                  1                        
833.408                  1                        
833.204                  1                        
832.393                  1                        
827.032                  1                        
832.098                  1                        
838.364                  1                        
844.84                   1                        
839.206                  1                        
836.551                  1                        
839.915                  1                        
835.375                  1                        
823.678                  1                        
825.905                  1                        
825.799                  1                        
822.087                  1                        
824.357                  1                        
819.12                   1                        
821.67                   1                        
812.5                    1                        
817.451                  1                        
812.623                  1                        
814.967                  1                        
807.168                  1                        
800.827                  1                        
791.472                  1                        
796.153                  1                        
795.361                  1                        
791.866                  1                        
787.765                  1                        
797.175                  1                        
795.103                  1                        
794.863                  1                        
788.785                  1                        
781.732                  1                        
780.748                  1                        
781.988                  1                        
783.799                  1                        
787.235                  1                        
788.635                  1                        
789.232                  1                        
791.087                  1                        
787.294                  1                        
786.228                  1                        
788.296                  1                        
794.3                    1                        
792.561                  1                        
797.266                  1                        
