weights			sign			<n>			<n+ n->
259345			1			1.49998			0.499989
81.4119			1			1.47842			0.483166
3646.13			1			1.09124			0.216677
40982.8			1			1.00216			0.128362
204617			1			1.00033			0.115181
20105.6			1			1.00188			0.120263
1.446e+07			1			1.00843			0.118357
426146			1			1.00103			0.11358
5.47035			1			1.06153			0.192948
26.972			1			1.04402			0.178346
41603.3			1			1.01499			0.148559
508249			1			1.00086			0.124369
9659.4			1			1.18713			0.275263
159.103			1			1.49246			0.494787
1.69114			1			1.14263			0.259558
1594.12			1			1.49725			0.498272
409.56			1			1.48587			0.490858
1389.59			1			1.49998			0.499987
7758.27			1			1.23338			0.309061
868127			1			1.20508			0.301158
65408			1			1.5			0.499998
191.615			1			1.49911			0.499331
5323.14			1			1.4688			0.47491
871.219			1			1.0854			0.199895
9769.78			1			1.34521			0.394678
14.256			1			1.49954			0.499699
4608			1			1.10416			0.220883
193.371			1			1.04009			0.168156
407799			1			1.00961			0.146395
11041.3			1			1.00085			0.120162
4736.59			1			1.01012			0.151753
3.26387e+06			1			1.286			0.360766
42564.1			1			1.5			0.499998
202.024			1			1.40907			0.4314
1.60086e+06			1			1.01246			0.126851
111215			1			1.00033			0.134895
9.99399e+06			1			1.00366			0.12142
60422.8			1			1.00431			0.129928
26.0505			1			1.01165			0.150801
5083.88			1			1.02064			0.134717
5046.95			1			1.12827			0.239881
4918.02			1			1.49625			0.497732
1.82289e+06			1			1.03211			0.139284
1802.7			1			1.00237			0.13155
4138.73			1			1.00775			0.134508
97.5782			1			1.06174			0.193229
59648.4			1			1.429			0.44934
53152.5			1			1.49986			0.499903
1716.61			1			1.49996			0.499974
13.0281			1			1.22411			0.30582
418.241			1			1.02466			0.164475
16869.8			1			1.00512			0.144039
1594.84			1			1.00455			0.14874
6.19513e+06			1			1.00084			0.108999
129868			1			1.00133			0.122417
49.2635			1			1.00559			0.149825
28881.1			1			1.3503			0.392454
19042.8			1			1.49859			0.499039
568.048			1			1.49938			0.499536
203.244			1			1.48821			0.490887
140188			1			1.49922			0.499471
1111.89			1			1.44821			0.460549
6461.96			1			1.48753			0.492998
207.844			1			1.18369			0.278177
1.67326e+06			1			1.00093			0.120131
52.8353			1			1.02032			0.18128
58.0152			1			1.34432			0.389441
159.812			1			1.49992			0.499955
4603.27			1			1.49451			0.496002
45.3589			1			1.31119			0.374548
31830.7			1			1.05132			0.148833
7652			1			1.00102			0.115185
6717.39			1			1.00271			0.114969
1.31473e+06			1			1.00159			0.162616
836.434			1			1.04815			0.198039
12038.2			1			1.48736			0.491302
284.859			1			1.23134			0.301358
1.46452e+06			1			1.01158			0.138221
67.3006			1			1.00259			0.132114
673.263			1			1.35726			0.397316
5766.13			1			1.46361			0.472292
17173.2			1			1.03515			0.14832
28023.9			1			1.00583			0.114267
1675.17			1			1.24485			0.331099
239.992			1			1.49958			0.499746
3781.44			1			1.46332			0.475335
559.148			1			1.49967			0.499666
330424			1			1.17486			0.263608
10323.1			1			1.16714			0.26958
2706.04			1			1.49869			0.499011
11.3324			1			1.4663			0.478271
127247			1			1.49945			0.499569
370.955			1			1.49725			0.498301
3991.45			1			1.09066			0.208791
517039			1			1.40246			0.42879
8646.12			1			1.49994			0.499957
278319			1			1.49108			0.492658
6298.46			1			1.49882			0.499157
18.9233			1			1.14279			0.238262
58594.2			1			1.41714			0.437159
29604.8			1			1.49986			0.4999
1.7031e+06			1			1.49997			0.499982
1430.61			1			1.49965			0.499727
1166.38			1			1.49884			0.499227
51196.6			1			1.49995			0.499971
8.17123			1			1.38488			0.418963
44.2112			1			1.27914			0.352525
79514.2			1			1.49774			0.498332
139659			1			1.49977			0.499832
21115.7			1			1.49938			0.499501
7872.73			1			1.46801			0.474162
71.0078			1			1.46448			0.474331
1063.98			1			1.21387			0.309264
3552.91			1			1.49228			0.494036
24814.9			1			1.49739			0.498334
3883.57			1			1.49738			0.498067
22254.4			1			1.48209			0.487548
864.244			1			1.46237			0.471171
158948			1			1.39715			0.431557
19595.3			1			1.49981			0.49987
18203.4			1			1.44163			0.447876
3.63164			1			1.15724			0.261488
51664.4			1			1.04168			0.153497
1.84133e+07			1			1.00019			0.104443
23053.4			1			1.00043			0.141118
50203.7			1			1.00846			0.124276
89705.1			1			1.00096			0.127452
192025			1			1.00009			0.112633
17347.2			1			1.00054			0.12931
461151			1			1.00367			0.118583
3161.99			1			1.00306			0.112412
595703			1			1.00064			0.119152
973.459			1			1.00397			0.134307
20.1627			1			1.00873			0.141198
488327			1			1.0064			0.134931
14991.7			1			1.01197			0.126551
34379.3			1			1.01283			0.129755
123685			1			1.45114			0.46798
874.655			1			1.29187			0.366771
2411.88			1			1.49995			0.499972
3034.59			1			1.30898			0.368571
1044.61			1			1.49902			0.499383
8304.16			1			1.49268			0.49486
3324.02			1			1.49999			0.499992
10880.5			1			1.49111			0.493344
38294.6			1			1.49996			0.499974
1228.81			1			1.48715			0.490894
751.68			1			1.49865			0.498904
3340.93			1			1.48476			0.489876
330016			1			1.49839			0.498806
7553.66			1			1.49968			0.499768
69.6418			1			1.30685			0.359292
26050.4			1			1.35192			0.392343
45560.5			1			1.49883			0.499119
20.2755			1			1.48272			0.488607
393.755			1			1.16759			0.269128
4834.96			1			1.49615			0.496955
335.291			1			1.4884			0.490961
104.485			1			1.45777			0.472527
47538.9			1			1.4965			0.497671
95871.7			1			1.49999			0.499996
13976.4			1			1.48989			0.492146
15396.9			1			1.48558			0.489389
12.504			1			1.47098			0.480634
23534.9			1			1.49642			0.497697
28.601			1			1.35596			0.396634
7215.43			1			1.01917			0.141414
5122.47			1			1.00642			0.131609
63322.3			1			1.00163			0.130052
29.3786			1			1.02128			0.184011
29040.3			1			1.00433			0.133528
166090			1			1.01662			0.13156
249.217			1			1.00439			0.134066
101759			1			1.03084			0.142362
3330.04			1			1.00145			0.116055
6312.09			1			1.04057			0.158729
3185.5			1			1.49753			0.498527
101.078			1			1.19877			0.296878
44.5356			1			1.22893			0.302799
178768			1			1.45413			0.465877
784.38			1			1.49987			0.499928
361.976			1			1.49897			0.499232
298437			1			1.49787			0.498499
7454.25			1			1.4838			0.487016
21813.2			1			1.49528			0.496016
1.55212e+06			1			1.49908			0.499257
44108.4			1			1.5			0.499997
91460.8			1			1.49994			0.49996
11635			1			1.49915			0.499407
11373.4			1			1.4926			0.494639
408956			1			1.49999			0.499993
286.655			1			1.49989			0.499922
5523.75			1			1.49845			0.498879
56519.4			1			1.49961			0.499725
2017.16			1			1.49735			0.498085
842.364			1			1.16872			0.259624
3.80469e+08			1			1.00941			0.102624
6.37868e+06			1			1.00004			0.119715
64632.1			1			1.00104			0.102913
11939.8			1			1.00285			0.134185
140944			1			1.00185			0.125661
13795.3			1			1.45332			0.466333
100.764			1			1.48419			0.488305
137198			1			1.48861			0.491809
405.277			1			1.49722			0.498068
2939.38			1			1.44911			0.463977
29557.1			1			1.49988			0.499908
32.1609			1			1.39442			0.422188
23378.7			1			1.01792			0.153906
1221.82			1			1.00288			0.131323
8069.79			1			1.00178			0.121139
460248			1			1.00032			0.106636
48209			1			1.00031			0.151042
23681.2			1			1.04991			0.171605
331561			1			1.00681			0.132604
382620			1			1.22286			0.303826
3330.92			1			1.49559			0.496567
8370.97			1			1.13294			0.247462
1366.9			1			1.49756			0.498098
143779			1			1.48749			0.491029
1687.83			1			1.32133			0.372134
7205.98			1			1.00182			0.12563
16837			1			1.00088			0.14394
234509			1			1.00181			0.0977045
63.229			1			1.06225			0.199456
1793.76			1			1.49603			0.497519
9201.89			1			1.4882			0.491115
844782			1			1.15684			0.231323
183248			1			1.00009			0.11535
5.24956e+07			1			1.00033			0.096244
40030.3			1			1.00207			0.137378
40377.2			1			1.00705			0.111309
808.129			1			1.00966			0.157597
4.41441e+06			1			1.00058			0.116655
